query_id,doc_id,relevance
q01,pdf_0511_professional-ai-certificate-program-application,2
q01,pdf_0512_professional-certificate-ai-worksheet,2
q01,pdf_0341_certificate-artificial--intelligence-program-application,2
q01,pdf_0509_newcertificate-artificial-intelligence-worksheet,2
q01,pdf_0278_artificial-inteligence-certificate-worksheet-jan6,2
q01,pdf_0342_certificate-artificial-intelligence--program-worksheet,2
q01,pdf_0343_certificate-artificial-intelligence-program-worksheet,2
q01,pdf_0280_artificial-intelligence-cert-program-worksheet,2
q01,pdf_0281_artificial-intelligence-certificate-program-application-jan6,2
q01,pdf_0282_artificial-intelligence-minor-program-application-jan6,2
q01,pdf_0409_data-science-certificate-worksheet,2
q01,pdf_0482_minor--artificial-intelligence-application,2
q01,pdf_0279_artificial-inteligence-minor-worksheet-jan6,2
q01,pdf_0485_ms--arin-worksheet,2
q01,pdf_0405_cybersecurity-certificate-worksheet-2023,2
q01,pdf_0517_professional-ms-ai-worksheet,2
q01,pdf_0311_cap6635artificial-intelligence,1
q01,pdf_0483_minor-in-business-application,1
q01,pdf_0510_nursing-joint-bsms-ai-audit-form,1
q01,pdf_0298_cap4630artificial-intelligence,1
q01,pdf_0301_cap5625computational-foundations-of-artificial-intelligence,1
q01,pdf_0489_ms-computer-science-with-minor-in-business-worksheet,1
q01,pdf_0291_bsms-joint-mechanical-engineering-and-msai-audit-form,1
q01,pdf_0407_cybersecurity-minor-worksheet,1
q01,pdf_0484_minor-in-business-worksheet,1
q01,pdf_0530_syllabus-trustworthy-artificial-intelligence-fall-2024,1
q02,pdf_0282_artificial-intelligence-minor-program-application-jan6,2
q02,pdf_0482_minor--artificial-intelligence-application,2
q02,pdf_0342_certificate-artificial-intelligence--program-worksheet,2
q02,pdf_0279_artificial-inteligence-minor-worksheet-jan6,2
q02,pdf_0512_professional-certificate-ai-worksheet,2
q02,pdf_0483_minor-in-business-application,2
q02,pdf_0484_minor-in-business-worksheet,2
q02,pdf_0511_professional-ai-certificate-program-application,2
q02,pdf_0343_certificate-artificial-intelligence-program-worksheet,2
q02,pdf_0278_artificial-inteligence-certificate-worksheet-jan6,2
q02,pdf_0281_artificial-intelligence-certificate-program-application-jan6,2
q02,pdf_0341_certificate-artificial--intelligence-program-application,2
q02,pdf_0280_artificial-intelligence-cert-program-worksheet,2
q02,pdf_0485_ms--arin-worksheet,2
q02,pdf_0509_newcertificate-artificial-intelligence-worksheet,2
q02,pdf_0407_cybersecurity-minor-worksheet,2
q02,pdf_0489_ms-computer-science-with-minor-in-business-worksheet,2
q02,pdf_0344_certificate-big-data-analytics-application,1
q02,pdf_0345_certificate-cyber-security-application,1
q02,pdf_0406_cybersecurity-minor-program-application,1
q02,pdf_0365_computer-science-minor-program-application,1
q02,pdf_0486_ms--coen-worksheet,1
q02,pdf_0487_ms--dsa--worksheet,1
q02,pdf_0490_ms-cse-worksheet-new,1
q02,pdf_0491_ms-egit-ait-worksheet,1
q02,pdf_0492_ms-egit-csda-worksheet,1
q02,pdf_0493_ms-egit-csec-worksheet,1
q02,pdf_0495_ms-in-computer-engineering-program-sheet-6-2025,1
q02,pdf_0497_ms-in-data-science-analytics-program-worksheet-6-2025,1
q02,pdf_0498_ms-in-eel-worksheet,1
q03,pdf_0513_professional-certificate-big-data-analytics-application,2
q03,pdf_0283_big-data-analytics-cert-program-worksheet,2
q03,pdf_0514_professional-certificate-big-data-analytics-worksheet,2
q03,pdf_0344_certificate-big-data-analytics-application,2
q03,pdf_0317_cap6780big-data-analytics,2
q03,pdf_0305_cap6315social-networks-big-data-analytics,2
q04,pdf_0496_ms-in-computer-science-program-worksheet-6-2025,2
q04,pdf_0518_professional-ms-cs-worksheet,2
q04,pdf_0490_ms-cse-worksheet-new,2
q04,pdf_0489_ms-computer-science-with-minor-in-business-worksheet,2
q04,pdf_0492_ms-egit-csda-worksheet,2
q04,pdf_0501_ms-in-information-technology-management-computer-science-dat,2
q04,pdf_0503_ms-phd-computer-science-worksheet12.09.2025,2
q04,pdf_0504_ms-phd-csc-data-science-anly-concn12.09.2025,2
q04,pdf_0505_ms-phd-cybersecurity-concn12.09.2025,2
q04,pdf_0506_ms-to-phd-eel-neuroeng-concn-worksheet12.09.2025,2
q04,pdf_0507_ms-to-phd-electrical-engineering-worksheet1.13.2026,2
q04,pdf_0493_ms-egit-csec-worksheet,2
q04,pdf_0502_ms-in-information-technology-management-cybersecurity-progra,2
q04,pdf_0483_minor-in-business-application,2
q04,pdf_0484_minor-in-business-worksheet,2
q04,pdf_0508_msto-phd-computer-engineering-worksheet12.09.2025,2
q04,pdf_0520_professional-ms-itm-csda-concentration-worksheet,2
q04,pdf_0405_cybersecurity-certificate-worksheet-2023,2
q04,pdf_0407_cybersecurity-minor-worksheet,2
q04,pdf_0485_ms--arin-worksheet,2
q04,pdf_0486_ms--coen-worksheet,2
q04,pdf_0487_ms--dsa--worksheet,2
q04,pdf_0491_ms-egit-ait-worksheet,2
