query_id,doc_id,rrf_score,rank
q01,pdf_0281_artificial-intelligence-certificate-program-application-jan6::chunk_001,0.021803,1
q01,pdf_0513_professional-ai-certificate-program-application::chunk_001,0.021799,2
q01,pdf_0514_professional-certificate-ai-worksheet::chunk_001,0.021564,3
q01,pdf_0341_certificate-artificial--intelligence-program-application::chunk_001,0.021334,4
q01,pdf_0343_certificate-artificial-intelligence-program-worksheet::chunk_001,0.02074,5
q01,pdf_0342_certificate-artificial-intelligence--program-worksheet::chunk_001,0.020527,6
q01,pdf_0278_artificial-inteligence-certificate-worksheet-jan6::chunk_001,0.020464,7
q01,pdf_0282_artificial-intelligence-minor-program-application-jan6::chunk_001,0.019954,8
q01,pdf_0510_newcertificate-artificial-intelligence-worksheet::chunk_001,0.019656,9
q01,pdf_0280_artificial-intelligence-cert-program-worksheet::chunk_001,0.019464,10
q01,pdf_0519_professional-ms-ai-worksheet::chunk_001,0.019131,11
q01,course_0018_CAP_6619::chunk_001,0.019048,12
q01,pdf_0483_minor--artificial-intelligence-application::chunk_001,0.019044,13
q01,course_0021_CAP_6629::chunk_001,0.018826,14
q01,pdf_0279_artificial-inteligence-minor-worksheet-jan6::chunk_001,0.018812,15
q01,course_0025_CAP_6635::chunk_001,0.018532,16
q01,pdf_0515_professional-certificate-big-data-analytics-application::chunk_001,0.018307,17
q01,pdf_0405_cybersecurity-certificate-program-application::chunk_001,0.017431,18
q01,course_0024_CAP_6635::chunk_001,0.017356,19
q01,course_0020_CAP_6619::chunk_001,0.017356,20
q01,pdf_0346_certificate-cyber-security-application::chunk_001,0.017278,21
q01,course_0146_CAP_4630::chunk_001,0.017201,22
q01,pdf_0344_certificate-big-data-analytics-application::chunk_001,0.017026,23
q01,course_0023_CAP_6635::chunk_001,0.016818,24
q01,pdf_0517_professional-certificate-energy-resilience-application::chunk_001,0.016717,25
q01,pdf_0518_professional-certificate-energy-resilience-worksheet::chunk_001,0.016665,26
q01,pdf_0311_cap6635artificial-intelligence::chunk_001,0.016619,27
q01,pdf_0486_ms--arin-worksheet::chunk_001,0.016598,28
q01,course_0008_CAP_5768::chunk_001,0.016459,29
q01,pdf_0406_cybersecurity-certificate-worksheet-2023::chunk_001,0.016432,30
q01,course_0005_CAP_5625::chunk_001,0.016369,31
q01,pdf_0516_professional-certificate-big-data-analytics-worksheet::chunk_001,0.016319,32
q01,course_0028_CAP_6673::chunk_001,0.016222,33
q01,pdf_0345_certificate-biomedical-engineering-program-application::chunk_001,0.016173,34
q01,course_0003_CAP_5625::chunk_001,0.01616,35
q01,pdf_0409_data-science-certificate-program-application::chunk_001,0.016038,36
q01,pdf_0348_certificate-energy-resilience-program-worksheet::chunk_001,0.016029,37
q01,pdf_0298_cap4630artificial-intelligence::chunk_001,0.016017,38
q01,pdf_0347_certificate-energy-resilience-program-application::chunk_001,0.015886,39
q01,pdf_0532_syllabus-trustworthy-artificial-intelligence-fall-2024::chunk_005,0.015842,40
q01,course_0004_CAP_5625::chunk_001,0.015363,41
q01,pdf_0532_syllabus-trustworthy-artificial-intelligence-fall-2024::chunk_001,0.01527,42
q01,course_0030_CAP_6673::chunk_001,0.015222,43
q01,pdf_0511_nursing-joint-bsms-ai-audit-form::chunk_001,0.015154,44
q01,course_0035_CAP_6776::chunk_001,0.015014,45
q01,pdf_0410_data-science-certificate-worksheet::chunk_001,0.014924,46
q01,pdf_0532_syllabus-trustworthy-artificial-intelligence-fall-2024::chunk_003,0.014638,47
q01,pdf_0404_cyber-security-cert-program-worksheet::chunk_001,0.014408,48
q01,course_0085_COT_5930::chunk_001,0.013941,49
q01,pdf_0283_big-data-analytics-cert-program-worksheet::chunk_001,0.013779,50
q01,pdf_0532_syllabus-trustworthy-artificial-intelligence-fall-2024::chunk_004,0.013282,51
q01,course_0026_CAP_6635::chunk_001,0.013281,52
q01,pdf_0301_cap5625computational-foundations-of-artificial-intelligence::chunk_001,0.012924,53
q01,course_0225_COT_4930::chunk_001,0.012645,54
q01,pdf_0408_cybersecurity-minor-worksheet::chunk_001,0.012318,55
q01,pdf_0521_professional-ms-itm-adv-info-tech-concentration-worksheet::chunk_001,0.012235,56
q01,pdf_0291_bsms-joint-mechanical-engineering-and-msai-audit-form::chunk_001,0.012215,57
q01,pdf_0366_computer-science-minor-program-application::chunk_001,0.01221,58
q01,course_0101_COT_6930::chunk_001,0.011964,59
q01,course_0144_CAP_4623::chunk_001,0.011943,60
q01,pdf_0525_syllabus-ai-data-sci-cybersecurity-ethics-fall-2024::chunk_001,0.011736,61
q01,pdf_0276_4-plus-1-itm-ait::chunk_001,0.01087,62
q01,pdf_0502_ms-in-information-technology-management-computer-science-dat::chunk_002,0.010714,63
q01,course_0059_CIS_5371::chunk_001,0.010417,64
q01,pdf_0314_cap6776information-retrieval::chunk_001,0.010345,65
