query_id,doc_id,rrf_score,rank
q01,pdf_0281_artificial-intelligence-certificate-program-application-jan6::chunk_001,0.011283,1
q01,pdf_0513_professional-ai-certificate-program-application::chunk_001,0.011263,2
q01,pdf_0514_professional-certificate-ai-worksheet::chunk_001,0.011225,3
q01,pdf_0341_certificate-artificial--intelligence-program-application::chunk_001,0.011189,4
q01,pdf_0343_certificate-artificial-intelligence-program-worksheet::chunk_001,0.011106,5
q01,pdf_0342_certificate-artificial-intelligence--program-worksheet::chunk_001,0.01107,6
q01,pdf_0278_artificial-inteligence-certificate-worksheet-jan6::chunk_001,0.01105,7
q01,pdf_0510_newcertificate-artificial-intelligence-worksheet::chunk_001,0.010943,8
q01,pdf_0282_artificial-intelligence-minor-program-application-jan6::chunk_001,0.010937,9
q01,pdf_0280_artificial-intelligence-cert-program-worksheet::chunk_001,0.010908,10
q01,pdf_0519_professional-ms-ai-worksheet::chunk_001,0.010854,11
q01,course_0025_CAP_6635::chunk_001,0.010848,12
q01,course_0018_CAP_6619::chunk_001,0.010818,13
q01,course_0021_CAP_6629::chunk_001,0.010762,14
q01,pdf_0483_minor--artificial-intelligence-application::chunk_001,0.010737,15
q01,pdf_0279_artificial-inteligence-minor-worksheet-jan6::chunk_001,0.010691,16
q01,course_0020_CAP_6619::chunk_001,0.010599,17
q01,pdf_0515_professional-certificate-big-data-analytics-application::chunk_001,0.010542,18
q01,pdf_0405_cybersecurity-certificate-program-application::chunk_001,0.010505,19
q01,course_0023_CAP_6635::chunk_001,0.010473,20
q01,pdf_0311_cap6635artificial-intelligence::chunk_001,0.010427,21
q01,course_0008_CAP_5768::chunk_001,0.010384,22
q01,pdf_0346_certificate-cyber-security-application::chunk_001,0.010365,23
q01,course_0028_CAP_6673::chunk_001,0.010327,24
q01,pdf_0344_certificate-big-data-analytics-application::chunk_001,0.010325,25
q01,pdf_0486_ms--arin-worksheet::chunk_001,0.01032,26
q01,course_0003_CAP_5625::chunk_001,0.010296,27
q01,pdf_0298_cap4630artificial-intelligence::chunk_001,0.010275,28
q01,pdf_0406_cybersecurity-certificate-worksheet-2023::chunk_001,0.010232,29
q01,pdf_0517_professional-certificate-energy-resilience-application::chunk_001,0.010213,30
q01,pdf_0518_professional-certificate-energy-resilience-worksheet::chunk_001,0.010211,31
q01,pdf_0348_certificate-energy-resilience-program-worksheet::chunk_001,0.010144,32
q01,pdf_0345_certificate-biomedical-engineering-program-application::chunk_001,0.010126,33
q01,course_0004_CAP_5625::chunk_001,0.010114,34
q01,pdf_0409_data-science-certificate-program-application::chunk_001,0.010077,35
q01,pdf_0347_certificate-energy-resilience-program-application::chunk_001,0.010077,36
q01,course_0030_CAP_6673::chunk_001,0.010072,37
q01,pdf_0516_professional-certificate-big-data-analytics-worksheet::chunk_001,0.010003,38
q01,pdf_0532_syllabus-trustworthy-artificial-intelligence-fall-2024::chunk_005,0.009985,39
q01,pdf_0511_nursing-joint-bsms-ai-audit-form::chunk_001,0.009955,40
q01,pdf_0532_syllabus-trustworthy-artificial-intelligence-fall-2024::chunk_001,0.009915,41
q01,course_0035_CAP_6776::chunk_001,0.009833,42
q01,pdf_0532_syllabus-trustworthy-artificial-intelligence-fall-2024::chunk_004,0.009822,43
q01,pdf_0404_cyber-security-cert-program-worksheet::chunk_001,0.009788,44
q01,pdf_0532_syllabus-trustworthy-artificial-intelligence-fall-2024::chunk_003,0.009769,45
q01,pdf_0410_data-science-certificate-worksheet::chunk_001,0.009728,46
q01,course_0024_CAP_6635::chunk_001,0.009585,47
q01,course_0146_CAP_4630::chunk_001,0.009554,48
q01,pdf_0283_big-data-analytics-cert-program-worksheet::chunk_001,0.009553,49
q01,course_0005_CAP_5625::chunk_001,0.009375,50
q01,pdf_0301_cap5625computational-foundations-of-artificial-intelligence::chunk_001,0.009239,51
q01,course_0085_COT_5930::chunk_001,0.008746,52
q01,pdf_0276_4-plus-1-itm-ait::chunk_001,0.008571,53
q01,pdf_0501_ms-in-information-technology-management-advance-information-::chunk_002,0.008547,54
q01,pdf_0492_ms-egit-ait-worksheet::chunk_002,0.008499,55
q01,course_0026_CAP_6635::chunk_001,0.008475,56
q01,course_0059_CIS_5371::chunk_001,0.008427,57
q01,pdf_0314_cap6776information-retrieval::chunk_001,0.008403,58
q01,pdf_0486_ms--arin-worksheet::chunk_002,0.00838,59
q01,course_0038_CAP_6778::chunk_001,0.008357,60
q01,course_0235_EEE_4361C::chunk_001,0.008333,61
q01,course_0238_EEE_4541::chunk_001,0.00831,62
q01,pdf_0284_bs-phd-computer-engineering-worksheet-12.09.2025::chunk_002,0.008287,63
q01,pdf_0316_cap6778adv-data-mining-machine-learning::chunk_001,0.008264,64
q01,course_0096_COT_6446::chunk_001,0.008242,65
q01,course_0225_COT_4930::chunk_001,0.008219,66
q01,course_0103_COT_6930::chunk_001,0.008197,67
q01,pdf_0285_bs-phd-computer-science-worksheet12.09.2025::chunk_002,0.008174,68
q01,pdf_0408_cybersecurity-minor-worksheet::chunk_001,0.00813,69
q01,course_0136_EEL_6819::chunk_001,0.008108,70
q01,pdf_0509_msto-phd-computer-engineering-worksheet12.09.2025::chunk_002,0.008086,71
q01,pdf_0502_ms-in-information-technology-management-computer-science-dat::chunk_002,0.008065,72
q01,pdf_0504_ms-phd-computer-science-worksheet12.09.2025::chunk_002,0.008043,73
q01,course_0060_CIS_5374::chunk_001,0.008021,74
q01,pdf_0532_syllabus-trustworthy-artificial-intelligence-fall-2024::chunk_002,0.008,75
q01,pdf_0407_cybersecurity-minor-program-application::chunk_001,0.00122,76
q01,pdf_0530_syllabus-mobile-app-projects-fall-2024::chunk_003,0.001216,77
q01,pdf_0529_syllabus-intro-intelligent-auton-robots-fall-2024::chunk_003,0.001208,78
q01,course_0109_COT_6930::chunk_001,0.001198,79
q01,pdf_0366_computer-science-minor-program-application::chunk_001,0.00119,80
q01,pdf_0498_ms-in-data-science-analytics-program-worksheet-6-2025::chunk_001,0.00118,81
q01,pdf_0493_ms-egit-csda-worksheet::chunk_001,0.00117,82
q01,pdf_0528_syllabus-generative-ai-driven-software-development-fall-2024::chunk_004,0.001166,83
q01,pdf_0492_ms-egit-ait-worksheet::chunk_001,0.001163,84
q01,pdf_0488_ms--dsa--worksheet::chunk_001,0.001159,85
q01,pdf_0491_ms-cse-worksheet-new::chunk_001,0.001146,86
q01,pdf_0494_ms-egit-csec-worksheet::chunk_001,0.001143,87
q01,pdf_0503_ms-in-information-technology-management-cybersecurity-progra::chunk_001,0.00114,88
q01,pdf_0502_ms-in-information-technology-management-computer-science-dat::chunk_001,0.001136,89
q01,pdf_0501_ms-in-information-technology-management-advance-information-::chunk_001,0.001133,90
q01,pdf_0525_syllabus-ai-data-sci-cybersecurity-ethics-fall-2024::chunk_003,0.00113,91
q01,pdf_0497_ms-in-computer-science-program-worksheet-6-2025::chunk_001,0.001127,92
q01,pdf_0487_ms--coen-worksheet::chunk_001,0.001124,93
q01,pdf_0496_ms-in-computer-engineering-program-sheet-6-2025::chunk_001,0.00112,94
q01,pdf_0528_syllabus-generative-ai-driven-software-development-fall-2024::chunk_001,0.001114,95
q01,pdf_0499_ms-in-eel-worksheet::chunk_001,0.001111,96
q01,pdf_0500_ms-in-electrical-engineering-program-sheet-6-2025::chunk_001,0.001099,97
q01,pdf_0528_syllabus-generative-ai-driven-software-development-fall-2024::chunk_005,0.001093,98
